,Country.of.Origin,Country.of.OriginR,Region.Name,RegionR,Processing.Method,Processing.MethodR,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
368,Mexico,4,Mexico,4,Semi-washed / Semi-pulped,3,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,940.0
369,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,1400.0
370,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,83.5,1524.0
371,Colombia,1,South America,3,Washed / Wet,0,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.5,1775.0
372,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,1402.08
375,Colombia,1,South America,3,Washed / Wet,0,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,83.42,439.0
376,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,1700.0
377,Colombia,1,South America,3,Washed / Wet,0,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,442.0
378,Costa Rica,3,Central America,1,Washed / Wet,0,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,83.42,1850.0
380,Uganda,6,Africa,0,Washed / Wet,0,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,1800.0
381,Thailand,9,Asia,2,Washed / Wet,0,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,1200.0
382,El Salvador,13,Central America,1,Washed / Wet,0,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.42,1330.0
383,Colombia,1,South America,3,Natural / Dry,1,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,442.0
385,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,1600.0
386,Colombia,1,South America,3,Washed / Wet,0,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,1813.0
387,Guatemala,11,Central America,1,Natural / Dry,1,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,1219.2
388,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,1500.0
389,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,1310.64
391,Colombia,1,South America,3,Washed / Wet,0,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,1450.0
396,Colombia,1,South America,3,Washed / Wet,0,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,1650.0
399,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,1227.0
400,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,1200.0
401,Colombia,1,South America,3,Washed / Wet,0,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,1650.0
402,"Tanzania, United Republic Of",15,Africa,0,Semi-washed / Semi-pulped,3,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,1700.0
403,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,1100.0
404,Costa Rica,3,Central America,1,Washed / Wet,0,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,1300.0
406,Costa Rica,3,Central America,1,Washed / Wet,0,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,83.33,1200.0
408,Haiti,21,Central America,1,Washed / Wet,0,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,1280.16
409,Colombia,1,South America,3,Natural / Dry,1,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,1000.0
410,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,1310.64
412,Burundi,22,Africa,0,Washed / Wet,0,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,1880.0
413,Colombia,1,South America,3,Washed / Wet,0,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,1750.0
416,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,1600.0
417,Costa Rica,3,Central America,1,Pulped natural / honey,2,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,1900.0
419,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,2100.0
422,Colombia,1,South America,3,Natural / Dry,1,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,83.25,442.0
423,Mexico,4,Mexico,4,Natural / Dry,1,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,83.25,1261.0
424,Taiwan,7,Asia,2,Washed / Wet,0,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,83.25,1000.0
425,Taiwan,7,Asia,2,Washed / Wet,0,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,83.25,800.0
426,Colombia,1,South America,3,Natural / Dry,1,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,83.25,1483.0
427,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,1500.0
428,Colombia,1,South America,3,Washed / Wet,0,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,83.25,1750.0
429,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,1300.0
432,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,83.25,1000.0
433,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,83.25,1310.64
434,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,1200.0
435,Colombia,1,South America,3,Washed / Wet,0,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,83.25,175.0
436,Colombia,1,South America,3,Washed / Wet,0,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,83.25,1775.0
440,Brazil,5,South America,3,Natural / Dry,1,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,83.17,890.0
441,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.17,1901.0
442,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.17,168.0
444,Vietnam,23,Asia,2,Natural / Dry,1,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,7.58,83.17,1550.0
445,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,1500.0
446,Honduras,16,Central America,1,Washed / Wet,0,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,1450.0
