Country.of.Origin,Region.Name,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
Mexico,Mexico,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,1700
Taiwan,Asia,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,1000
Thailand,Asia,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,1200
Colombia,South America,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,2560
Guatemala,Central America,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,1500
Guatemala,Central America,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,1099.4136
China,Asia,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,1400
Colombia,South America,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,1775
Colombia,South America,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,1775
Colombia,South America,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,1800
Colombia,South America,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,442
"Tanzania, United Republic Of",Africa,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,1620
"Tanzania, United Republic Of",Africa,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,1600
Guatemala,Central America,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,1219.2
Colombia,South America,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,1700
Mexico,Mexico,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,1450
Mexico,Mexico,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,1170
Mexico,Mexico,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,1400
Uganda,Africa,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,1700
Guatemala,Central America,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,1700
Costa Rica,Central America,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,1700
Guatemala,Central America,Washed / Wet,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,1116.7872
Guatemala,Central America,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,1565
